operating_point_label,config_id,method,reduction_ratio_label,context_accuracy,anomaly_rate,D,F,M,structured_distractor_count,component_flip_rate,candidate_subset_size,trials,target_recovery_rate,distractor_capture_rate,hybrid_spurious_rate,unsettled_rate,exact_recovery_rate,exact_recovery_ci_low,exact_recovery_ci_high,per_factor_recovery_rate,false_consensus_rate,false_consensus_ci_low,false_consensus_ci_high,false_consensus_distractor_capture_share,false_consensus_hybrid_spurious_share,unsettled_failure_rate,unsettled_failure_ci_low,unsettled_failure_ci_high,stable_prediction_rate,truth_inclusion_probability,mean_candidate_recall,mean_candidate_precision_proxy,conditional_accuracy_given_all_truth_included,truth_absent_failure_rate,truth_present_failure_rate,mean_iterations_used,median_iterations_used,mean_normalized_margin,mean_normalized_reconstruction_similarity,mean_candidate_evaluations_proxy,mean_element_operations_proxy,mean_anomaly_count,context_prediction_correct_rate,schema_version,similarity_metric,master_seed,python_version,torch_version,torchhd_version,platform,paired_exact_recovery_delta_vs_global,paired_false_consensus_delta_vs_global,paired_target_recovery_delta_vs_global,paired_exact_recovery_regret_vs_oracle_truth_included,paired_candidate_recall_regret_vs_oracle_truth_included,paired_candidate_recall_delta_vs_random_unconditional,paired_exact_recovery_delta_vs_random_unconditional
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,half,0.9,0.25,1024,4,10,0,0.0,5,64,0.34375,0.0,0.015625,0.640625,0.34375,0.23922975035469027,0.46596588182379606,0.41796875,0.015625,0.0027634707504014117,0.08334298900290629,0.0,1.0,0.640625,0.5182062363615084,0.7471176946778538,0.359375,0.359375,0.75390625,0.15078125,0.9565217391304348,0.640625,0.015625,8.984375,12.0,0.5848162043257616,0.34344482421875,179.6875,184000.0,1.0625,0.875,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.234375,-0.0625,0.234375,0.609375,0.24609375,0.296875,0.3125
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,half,1.0,0.0,1024,4,10,0,0.0,5,64,0.546875,0.0,0.0,0.453125,0.546875,0.4257338252067978,0.6627074851396563,0.61328125,0.0,0.0,0.056626022971156334,,,0.453125,0.33729251486034373,0.5742661747932022,0.546875,0.5625,0.8671875,0.1734375,0.9722222222222222,0.4375,0.015625,7.3125,4.0,0.6801218194013927,0.544952392578125,146.25,149760.0,0.0,1.0,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.390625,-0.046875,0.390625,0.375,0.1328125,0.4140625,0.53125
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,half,1.0,0.1,1024,4,10,0,0.0,5,64,0.453125,0.0,0.0,0.546875,0.453125,0.33729251486034373,0.5742661747932022,0.53125,0.0,0.0,0.056626022971156334,,,0.546875,0.4257338252067978,0.6627074851396563,0.453125,0.484375,0.82421875,0.16484375,0.9354838709677419,0.515625,0.03125,8.0625,12.0,0.6421302469098009,0.45172119140625,161.25,165120.0,0.421875,1.0,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.328125,-0.0625,0.328125,0.484375,0.17578125,0.3515625,0.4375
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,half,1.0,0.25,1024,4,10,0,0.0,5,64,0.375,0.0,0.015625,0.609375,0.375,0.2666580388810532,0.4974984668617358,0.46875,0.015625,0.0027634707504014117,0.08334298900290629,0.0,1.0,0.609375,0.486916942944024,0.7194461145310355,0.390625,0.40625,0.7890625,0.1578125,0.9230769230769231,0.59375,0.03125,8.703125,12.0,0.6035836200753693,0.374298095703125,174.0625,178240.0,1.0625,1.0,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.265625,-0.0625,0.265625,0.578125,0.2109375,0.33203125,0.34375
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,quarter,0.7,0.0,1024,4,10,0,0.0,3,64,0.296875,0.0,0.109375,0.59375,0.296875,0.19904999589075245,0.4177043259412798,0.40234375,0.109375,0.054000447526830544,0.20898863291938535,0.0,1.0,0.59375,0.4714498650454971,0.7054327556474111,0.40625,0.296875,0.63671875,0.21223958333333331,1.0,0.703125,0.0,8.71875,12.0,0.6091813159873709,0.292572021484375,104.625,107136.0,0.0,0.734375,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.140625,0.0625,0.140625,0.703125,0.36328125,0.2890625,0.296875
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,quarter,0.7,0.1,1024,4,10,0,0.0,3,64,0.203125,0.0,0.140625,0.65625,0.203125,0.12273302562695813,0.3171386755121659,0.328125,0.140625,0.07578487006414436,0.24616508394637426,0.0,1.0,0.65625,0.5340341181762038,0.7607702496453097,0.34375,0.203125,0.59765625,0.19921875,1.0,0.796875,0.0,9.4375,12.0,0.5575501589337364,0.197601318359375,113.25,115968.0,0.421875,0.734375,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.078125,0.078125,0.078125,0.796875,0.40234375,0.25,0.203125
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,quarter,0.7,0.25,1024,4,10,0,0.0,3,64,0.171875,0.0,0.171875,0.65625,0.171875,0.0987764126731623,0.2821344149016591,0.3125,0.171875,0.0987764126731623,0.2821344149016591,0.0,1.0,0.65625,0.5340341181762038,0.7607702496453097,0.34375,0.171875,0.5703125,0.19010416666666666,1.0,0.828125,0.0,9.484375,12.0,0.5433169573079795,0.1707763671875,113.8125,116544.0,1.0625,0.734375,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.0625,0.09375,0.0625,0.828125,0.4296875,0.23046875,0.171875
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,quarter,0.9,0.0,1024,4,10,0,0.0,3,64,0.390625,0.0,0.109375,0.5,0.390625,0.28055388546896454,0.5130830570559759,0.49609375,0.109375,0.054000447526830544,0.20898863291938535,0.0,1.0,0.5,0.3810188849321495,0.6189811150678505,0.5,0.390625,0.78515625,0.26171875,1.0,0.609375,0.0,7.75,10.5,0.6801034341333434,0.393157958984375,93.0,95232.0,0.0,0.96875,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.234375,0.0625,0.234375,0.609375,0.21484375,0.4375,0.390625
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,quarter,0.9,0.1,1024,4,10,0,0.0,3,64,0.265625,0.0,0.171875,0.5625,0.265625,0.17296238569537764,0.38483106257235195,0.39453125,0.171875,0.0987764126731623,0.2821344149016591,0.0,1.0,0.5625,0.4408599177828787,0.6770618293457267,0.4375,0.265625,0.7265625,0.2421875,1.0,0.734375,0.0,8.640625,12.0,0.6161281118402258,0.26605224609375,103.6875,106176.0,0.421875,0.96875,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.140625,0.109375,0.140625,0.734375,0.2734375,0.37890625,0.265625
COLLAPSE_SINGLE,D1024_F4_M10_SD0,predicted_l2_context,quarter,0.9,0.25,1024,4,10,0,0.0,3,64,0.21875,0.0,0.171875,0.609375,0.21875,0.13502197461349755,0.3343301633077779,0.34765625,0.171875,0.0987764126731623,0.2821344149016591,0.0,1.0,0.609375,0.486916942944024,0.7194461145310355,0.390625,0.21875,0.66015625,0.22005208333333331,1.0,0.78125,0.0,9.109375,12.0,0.6117586526088417,0.220703125,109.3125,111936.0,1.0625,0.96875,level1-baseline-v3,cosine,22260614,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0,0.109375,0.09375,0.109375,0.78125,0.33984375,0.3203125,0.21875
