schema_version,method_id,config_id,corruption_probability,candidate_budget,trials,raw_exact_trace_candidate_recall,post_budget_exact_trace_recall,exact_trace_recall_at_1,exact_trace_recall_at_8,exact_trace_recall_at_32,accepted_exact_trace_coverage,exact_trace_conditional_risk,ambiguous_wrong_acceptance_rate,decoder_contract_top1_accuracy,decoder_contract_candidate_fraction,distinct_contracts_after_routing,decoder_contract_entropy_before,decoder_contract_entropy_after,decoder_families_eliminated,decoder_contract_recall_at_32,decoder_contract_acceptance_coverage,transform_latency_p50,index_latency_p50,rerank_latency_p50,verification_latency_p50,total_latency_p50,total_latency_p95,total_latency_p99,external_candidates_returned_median,external_candidates_returned_p95,external_candidates_reranked_median
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.01,100,1536,0.9889322916666666,0.9889322916666666,0.9264322916666666,0.9889322916666666,0.9889322916666666,0.8639322916666666,0.0,0,0.9596354166666666,0.3629557291666667,3.5266927083333335,0.0,1.3103972517413938,-3.5266927083333335,0.9889322916666666,0.9264322916666666,1.00000761449337e-07,0.0015537000144831836,0.009264349995646626,0.0008929499890655279,0.01209869992453605,0.01652077501057647,0.02568848494556738,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.03,100,1536,0.9889322916666666,0.9889322916666666,0.9244791666666666,0.9889322916666666,0.9889322916666666,0.8639322916666666,0.0,0,0.9596354166666666,0.3336385091145833,3.513671875,0.0,1.3337433550940507,-3.513671875,0.990234375,0.9264322916666666,1.00000761449337e-07,0.0017041999963112175,0.010337050014641136,0.0009106000070460141,0.013654900016263127,0.020018024981254712,0.027933564956765723,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.05,32,1536,0.9837239583333334,0.9837239583333334,0.9251302083333334,0.9837239583333334,0.9837239583333334,0.7467447916666666,0.0,0,0.9524739583333334,0.2973225911458333,3.5423177083333335,0.0,1.367279061605594,-3.5423177083333335,0.984375,0.7955729166666666,1.00000761449337e-07,0.0015490000369027257,0.007170550001319498,0.0008371000876650214,0.00997989997267723,0.013333950017113239,0.018222130002686764,32.0,32.0,32.0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.05,64,1536,0.9837239583333334,0.9837239583333334,0.9251302083333334,0.9837239583333334,0.9837239583333334,0.7467447916666666,0.0,0,0.9524739583333334,0.3510945638020833,3.47265625,0.0,1.3192963689981987,-3.47265625,0.9850260416666666,0.7955729166666666,1.00000761449337e-07,0.0018741500098258257,0.00918654998531565,0.0008828499703668058,0.012965650006663054,0.019444225035840645,0.026816835039062452,64.0,64.0,64.0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.05,100,1536,0.9837239583333334,0.9837239583333334,0.9251302083333334,0.9837239583333334,0.9837239583333334,0.7467447916666666,0.0,0,0.9524739583333334,0.3495890299479167,3.501953125,0.0,1.3263402889384006,-3.501953125,0.9850260416666666,0.7955729166666666,1.00000761449337e-07,0.0016060500056482852,0.009828599984757602,0.000896250072401017,0.012822300021070987,0.016790175024652854,0.022502490028273318,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.1,100,1536,0.978515625,0.978515625,0.921875,0.978515625,0.978515625,0,0.0,0,0.94921875,0.3480224609375,3.5729166666666665,0.0,1.3520787152814036,-3.5729166666666665,0.9798177083333334,0,1.00000761449337e-07,0.0015447000041604042,0.009502650005742908,0.0008803500095382333,0.012388849980197847,0.015250724973157048,0.02124864994548264,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.15,100,1536,0.9537760416666666,0.9537760416666666,0.8951822916666666,0.9537760416666666,0.9537760416666666,0,0.0,0,0.9251302083333334,0.3595377604166667,3.587890625,0.0,1.3760891373492523,-3.587890625,0.9615885416666666,0,1.00000761449337e-07,0.0015572999836876988,0.009601700003258884,0.0008818499045446515,0.012550249986816198,0.01571485004387796,0.02027616503182799,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.0,100,512,1,1,0.9453125,1,1,0.875,0.0,0,0.96875,0.40753173828125,5.1640625,2.877961197630026,1.6995768520065424,6.8359375,1,0.9375,2.95999925583601e-05,0.0003091500257141888,0.004432849993463606,0.0008830000297166407,0.005887650011572987,0.007477385032689198,0.01126619900576769,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.01,100,512,1,1,0.9375,1,1,0.875,0.0,0,0.966796875,0.41766357421875,4.96875,2.877961197630026,1.6393139690149237,7.03125,1,0.9375,2.9699993319809437e-05,0.0003301999531686306,0.004567449970636517,0.0008889500168152153,0.0060668999794870615,0.010519784991629422,0.03754369300208045,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.03,100,512,1,1,0.939453125,1,1,0.875,0.0,0,0.966796875,0.39208984375,5.01171875,2.877961197630026,1.6791869703025821,6.98828125,1,0.9375,3.029999788850546e-05,0.000332399969920516,0.0051531000062823296,0.0009052999666891992,0.0068989499704912305,0.014547514967853201,0.030757209999719613,100.0,100.0,100.0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.05,32,512,1,1,0.93359375,1,1,0.76171875,0.0,0,0.96875,0.3905029296875,5.021484375,2.877961197630026,1.7322620839684175,6.978515625,1,0.810546875,2.9799994081258774e-05,0.0002938000252470374,0.0020744000212289393,0.0008327998802997172,0.0037159500061534345,0.007924385054502634,0.032634350993903154,32.0,32.0,32.0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.05,64,512,1,1,0.93359375,1,1,0.76171875,0.0,0,0.96875,0.4110107421875,5.087890625,2.877961197630026,1.6798821779582775,6.912109375,1,0.810546875,3.0499999411404133e-05,0.00037510000402107835,0.0038859499618411064,0.0008616499835625291,0.005818550009280443,0.012306700041517613,0.029286639072233712,64.0,64.0,64.0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.05,100,512,1,1,0.93359375,1,1,0.76171875,0.0,0,0.96875,0.40606689453125,5.01953125,2.877961197630026,1.6747368780881173,6.98046875,1,0.810546875,2.989999484270811e-05,0.00033584999619051814,0.004873600031714886,0.0008884500130079687,0.006365200038999319,0.010778154968284069,0.020093816031003367,100.0,100.0,100.0
