schema_version,method_id,config_id,corruption_probability,candidate_budget,transform_latency_p50,index_latency_p50,rerank_latency_p50,verification_latency_p50,total_latency_p50,total_latency_p95,total_latency_p99
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.05,100,0.0,0.0006893500103615224,0.0026102500269189477,0.0007624500431120396,0.004563449998386204,0.006314339948585257,0.0069225660013034936
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.1,100,0.0,0.0006818000110797584,0.0025741499848663807,0.0008057499653659761,0.004496050009038299,0.005724244931479916,0.007162547910120331
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.15,100,0.0,0.0006889000069350004,0.0025920000625774264,0.0009523499174974859,0.004622899985406548,0.005748814949765801,0.006744385028723627
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.0,100,1.00000761449337e-07,0.0015206999378278852,0.009130549966357648,0.0008934998768381774,0.011905750026926398,0.013851974974386394,0.016768449981464078
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.01,100,1.00000761449337e-07,0.0015537000144831836,0.009264349995646626,0.0008929499890655279,0.01209869992453605,0.01652077501057647,0.02568848494556738
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.03,100,1.00000761449337e-07,0.0017041999963112175,0.010337050014641136,0.0009106000070460141,0.013654900016263127,0.020018024981254712,0.027933564956765723
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.05,32,1.00000761449337e-07,0.0015490000369027257,0.007170550001319498,0.0008371000876650214,0.00997989997267723,0.013333950017113239,0.018222130002686764
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.05,64,1.00000761449337e-07,0.0018741500098258257,0.00918654998531565,0.0008828499703668058,0.012965650006663054,0.019444225035840645,0.026816835039062452
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.05,100,1.00000761449337e-07,0.0016060500056482852,0.009828599984757602,0.000896250072401017,0.012822300021070987,0.016790175024652854,0.022502490028273318
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.1,100,1.00000761449337e-07,0.0015447000041604042,0.009502650005742908,0.0008803500095382333,0.012388849980197847,0.015250724973157048,0.02124864994548264
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.15,100,1.00000761449337e-07,0.0015572999836876988,0.009601700003258884,0.0008818499045446515,0.012550249986816198,0.01571485004387796,0.02027616503182799
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.0,100,2.95999925583601e-05,0.0003091500257141888,0.004432849993463606,0.0008830000297166407,0.005887650011572987,0.007477385032689198,0.01126619900576769
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.01,100,2.9699993319809437e-05,0.0003301999531686306,0.004567449970636517,0.0008889500168152153,0.0060668999794870615,0.010519784991629422,0.03754369300208045
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.03,100,3.029999788850546e-05,0.000332399969920516,0.0051531000062823296,0.0009052999666891992,0.0068989499704912305,0.014547514967853201,0.030757209999719613
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.05,32,2.9799994081258774e-05,0.0002938000252470374,0.0020744000212289393,0.0008327998802997172,0.0037159500061534345,0.007924385054502634,0.032634350993903154
