schema_version,method_id,config_id,corruption_probability,query_subset,decoder_contract_recall_at_32,decoder_contract_acceptance_coverage,exact_trace_recall_at_32,exact_trace_acceptance_coverage,candidate_set_size_median,candidate_set_size_p95,candidate_reduction_ratio,total_query_latency_sec_p50,total_query_latency_sec_p95,total_query_latency_sec_p99
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B6_a1s2_multi_table_lsh,0.15,all,0.93359375,0,0.00390625,0,26.0,26.0,0.99761484375,0.005078800022602081,0.005777349986601621,0.005980300914961844
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.0,all,0.94140625,0.00390625,0.00390625,0.00390625,39.0,40.0,0.9963201171875,0.007672199979424477,0.008673020044807345,0.00930871502147056
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.01,all,0.943359375,0.001953125,0.001953125,0.001953125,38.5,40.0,0.9962974609375,0.007657849986571819,0.008720949932467192,0.009866085072280832
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.03,all,0.935546875,0.00390625,0.00390625,0.00390625,39.0,40.0,0.9963146484375,0.007701650029048324,0.008843319932930171,0.010917491095606227
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.05,all,0.943359375,0.00390625,0.005859375,0.00390625,39.0,40.0,0.996275390625,0.007705000112764537,0.0087855649064295,0.010592654014471908
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.1,all,0.951171875,0,0.005859375,0,39.0,40.0,0.9963138671875,0.007727099931798875,0.008726144983666018,0.010602350999834009
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B7_margin_aware_multi_probe_lsh,0.15,all,0.947265625,0,0.00390625,0,39.0,40.0,0.9962794921875,0.007729199947789311,0.008689264924032613,0.009544026977382599
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.0,all,1,0.9375,1,0.875,11.0,18.0,0.9988328125,0.002679149911273271,0.00409564995788969,0.004590450951363891
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.01,all,0.974609375,0.8515625,0.908203125,0.79296875,11.0,18.0,0.99885,0.0026303501217626035,0.004113120067631826,0.004630797012941911
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.03,all,0.931640625,0.654296875,0.6953125,0.6171875,11.0,18.0,0.9988947265625,0.002548999967984855,0.00403781994828023,0.0047137480368837715
lazy-semantic-trace-stage-a1-dev-v1,B3_stage_a_four_table_lsh,B3_stage_a_four_table_lsh,0.05,all,0.888671875,0.427734375,0.5078125,0.40234375,11.0,17.0,0.99890703125,0.0025445499341003597,0.003973070048959925,0.004482777049997821
