policy_id,thresholds,coverage,selective_risk,mean_compute,global_escalation_rate,abstention_rate,false_accept_rate,overall_correct_accept_rate,complexity
P0050,"{""global_min_margin"": 0.1, ""global_reconstruction"": 0.1, ""l1_min_margin"": 0.15, ""l1_rank_max"": 1.5, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.21153846153846156,419893.3333333333,0.19791666666666666,0.4583333333333333,0.11458333333333333,0.4270833333333333,6
P0051,"{""global_min_margin"": 0.1, ""global_reconstruction"": 0.15, ""l1_min_margin"": 0.15, ""l1_rank_max"": 1.5, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.21153846153846156,419893.3333333333,0.19791666666666666,0.4583333333333333,0.11458333333333333,0.4270833333333333,6
P0052,"{""global_min_margin"": 0.15, ""global_reconstruction"": 0.05, ""l1_min_margin"": 0.15, ""l1_rank_max"": 1.5, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.21153846153846156,419893.3333333333,0.19791666666666666,0.4583333333333333,0.11458333333333333,0.4270833333333333,6
P0053,"{""global_min_margin"": 0.15, ""global_reconstruction"": 0.1, ""l1_min_margin"": 0.15, ""l1_rank_max"": 1.5, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.21153846153846156,419893.3333333333,0.19791666666666666,0.4583333333333333,0.11458333333333333,0.4270833333333333,6
P0054,"{""global_min_margin"": 0.15, ""global_reconstruction"": 0.15, ""l1_min_margin"": 0.15, ""l1_rank_max"": 1.5, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.21153846153846156,419893.3333333333,0.19791666666666666,0.4583333333333333,0.11458333333333333,0.4270833333333333,6
P0055,"{""global_min_margin"": 0.05, ""global_reconstruction"": 0.05, ""l1_min_margin"": 0.05, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.23076923076923073,419773.3333333333,0.1875,0.4583333333333333,0.125,0.4166666666666667,6
P0056,"{""global_min_margin"": 0.05, ""global_reconstruction"": 0.1, ""l1_min_margin"": 0.05, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.23076923076923073,419773.3333333333,0.1875,0.4583333333333333,0.125,0.4166666666666667,6
P0057,"{""global_min_margin"": 0.05, ""global_reconstruction"": 0.15, ""l1_min_margin"": 0.05, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.23076923076923073,419773.3333333333,0.1875,0.4583333333333333,0.125,0.4166666666666667,6
P0058,"{""global_min_margin"": 0.1, ""global_reconstruction"": 0.05, ""l1_min_margin"": 0.05, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.23076923076923073,419773.3333333333,0.1875,0.4583333333333333,0.125,0.4166666666666667,6
P0059,"{""global_min_margin"": 0.1, ""global_reconstruction"": 0.1, ""l1_min_margin"": 0.05, ""l1_rank_max"": 2.0, ""l2_min_margin"": 0.05, ""l2_reconstruction"": 0.05}",0.5416666666666666,0.23076923076923073,419773.3333333333,0.1875,0.4583333333333333,0.125,0.4166666666666667,6
