schema_version,cell_id,dimensions,substrate,arm_id,exact_recovery_rate,median_decode_time_sec,p90_decode_time_sec,exact_recoveries_per_second,compute_spent_per_exact_recovery_sec
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step32,0.4375,0.02652818599999307,0.053650088000014765,14.796687948263601,0.06758269171428667
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step32_r4_best_native_reconstruction,0.5625,0.16114545900001076,0.1886454918999931,3.7085111115184115,0.26964999427777375
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step32_r4_majority_vote,0.40625,0.15029756749997603,0.19212486889999808,2.7235959422690206,0.3671616573076925
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step32_r4_random_restart_selection,0.21875,0.1490608645000009,0.1886256451000179,1.4535017022971604,0.6879936902857204
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_step64,0.53125,0.03207859500000154,0.06066559930000323,15.501195767712076,0.06451115223529602
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_wallclock_matched_bcf_median,0.15625,0.04900255549999599,0.057287635400007274,3.1536099794127193,0.3170969163999871
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_wallclock_matched_bcf_p90,0.4375,0.1098973319999601,0.11874077130000273,3.9555905286267743,0.25280675357142207
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,BCF,bcf_d512_f3_b4_reference,1.0,0.027594681000000065,0.03495260350000251,36.129412828982254,0.027678279875000378
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step12,1.0,0.005565139499996263,0.007592469500004029,164.74905799318145,0.00606983743750078
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step128,1.0,0.004867426999997093,0.010742423000003498,163.10571383886978,0.006130993062498646
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step12_r4_best_native_reconstruction,0.75,0.0571816434999981,0.07049650049999201,12.867735416090756,0.07771375208333293
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step12_r4_majority_vote,0.5,0.06142184099999781,0.08095907799999225,7.87382862835408,0.12700301812500037
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step12_r4_random_restart_selection,0.25,0.052436350500016715,0.07255616450000346,4.479920471734833,0.22321824825000824
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step32,1.0,0.005263952500001778,0.006497300000003037,181.76111089476362,0.0055017269375019495
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step32_r4_best_native_reconstruction,0.75,0.06021680450001554,0.07324663349999838,11.621430990629113,0.0860479230833402
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step32_r4_majority_vote,0.5,0.05746891549999589,0.07857622900000649,8.435957111885337,0.11854019487499645
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step32_r4_random_restart_selection,0.25,0.06504862799999955,0.08175750299999507,3.981202763097705,0.25118037424999606
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step64,1.0,0.005162401999999844,0.0106704860000022,158.6844346289344,0.006301815312499848
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_wallclock_matched_bcf_median,0.625,0.03245731500000559,0.04047916949999575,18.799099075735512,0.053194038500000575
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_wallclock_matched_bcf_p90,0.625,0.039577726999993956,0.04873832950000434,15.14960538307827,0.06600832000000309
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step12,0.9375,0.0048381024999955,0.014928732500006703,123.57770709574285,0.008092074399998712
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step128,0.9375,0.005621008499996805,0.010377474000001996,145.4876679706107,0.006873434799999719
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step12_r4_best_native_reconstruction,0.6875,0.051466521500000084,0.058070687499998996,13.356119942445392,0.07487204399999635
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step12_r4_majority_vote,0.375,0.048227447000005697,0.059619339500002866,7.604657945260899,0.13149835366667398
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step12_r4_random_restart_selection,0.1875,0.04841409750000736,0.06878718099999759,3.7131426406517107,0.2693136506666723
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step32,0.9375,0.005502340500004976,0.009001548999997055,155.30151862313753,0.006439087066667071
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step32_r4_best_native_reconstruction,0.6875,0.05070130850000254,0.06144526249998705,13.994018920693724,0.07145910018181018
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step32_r4_majority_vote,0.375,0.052557080999989125,0.061843865000000164,7.123273322554052,0.1403848981666549
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step32_r4_random_restart_selection,0.1875,0.04956209250000043,0.06155765049999218,3.7536268293150026,0.2664090080000013
