schema_version,cell_id,dimensions,arm_id,selection_rule,mean_restart_count,mean_restart_agreement,mean_unique_proposal_count,mean_best_native_reconstruction,mean_selected_native_reconstruction,mean_prediction_change_count,mean_trajectory_stability
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,map_512_step32_r4_best_native_reconstruction,best_native_reconstruction,4,0.25,4,0.05517577572027221,0.05517577572027221,124,0.03125
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,map_512_step32_r4_majority_vote,majority_vote,4,0.25,4,0.04638671615975909,0.04638671615975909,124,0.03125
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,map_512_step32_r4_random_restart_selection,random_restart_selection,4,0.25,4,0.05834960378706455,0.002441404532874003,124,0.03125
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,map_512_wallclock_matched_bcf_median,best_native_reconstruction,8,0.12549603174603174,8,0.057373041519895196,0.057373041519895196,88,0.08333333333333333
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,map_512_wallclock_matched_bcf_p90,best_native_reconstruction,28.6875,0.03489383780332056,28.6875,0.07958983653225005,0.07958983653225005,315.5625,0.08333333333333333
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,map_1024_step12_r4_best_native_reconstruction,best_native_reconstruction,4,0.25,4,0.0255126953125,0.0255126953125,44,0.08333333333333333
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,map_1024_step12_r4_majority_vote,majority_vote,4,0.25,4,0.031494140625,0.031494140625,44,0.08333333333333333
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,map_1024_step12_r4_random_restart_selection,random_restart_selection,4,0.25,4,0.03076171875,-0.00341796875,44,0.08333333333333333
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,map_1024_step32_r4_best_native_reconstruction,best_native_reconstruction,4,0.25,4,0.0389404296875,0.0389404296875,124,0.03125
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,map_1024_step32_r4_majority_vote,majority_vote,4,0.25,4,0.03173828125,0.03173828125,124,0.03125
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,map_1024_step32_r4_random_restart_selection,random_restart_selection,4,0.25,4,0.03173828125,0.0,123.125,0.03310546875
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,map_1024_wallclock_matched_bcf_median,best_native_reconstruction,7.9375,0.12661210317460317,7.9375,0.0478515625,0.0478515625,87.3125,0.08333333333333333
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,map_1024_wallclock_matched_bcf_p90,best_native_reconstruction,28.4375,0.03529420701669381,28.4375,0.124755859375,0.124755859375,312.4375,0.08396192528735631
