schema_version,cell_id,dimensions,substrate,arm_id,median_decode_time_sec,p90_decode_time_sec,p99_decode_time_sec,median_end_to_end_time_sec,p90_end_to_end_time_sec,p99_end_to_end_time_sec,same_device_timing
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_step32_r4_best_native_reconstruction,0.09016735949997923,0.12894251379999988,0.14435948223999473,0.09508654349996704,0.132391314100002,0.14779843659998435,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_step32_r4_majority_vote,0.10081014849996706,0.13586795420000045,0.14695550828999643,0.10564189799997337,0.13908205190000303,0.15307358352999628,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_step32_r4_random_restart_selection,0.08406824199998653,0.1113571402999938,0.11896203369000674,0.08833334849998664,0.11587070259999309,0.12403861515001595,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_step64,0.015826286999995887,0.03160256990000647,0.03783114824000606,0.019119371000009266,0.03564519819999106,0.04688285373999592,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_wallclock_matched_bcf_median,0.04341414649999109,0.054526034200002016,0.05826794156999625,0.04924860999998515,0.05851602270000172,0.06390175759999636,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_22,1024,MAP,map_1024_wallclock_matched_bcf_p90,0.08415367300000298,0.094428737899986,0.10570151400000186,0.09041060150001101,0.10180451189998792,0.10979360344000952,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,BCF,bcf_d512_f3_b4_reference,0.0606397500000071,0.20346370579999024,0.34344141620998975,0.1714517299999727,0.30351172639997515,0.4581094323799959,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step12,0.020062871000007476,0.03138468370000282,0.033899014710004,0.025423916999983476,0.035275422199975995,0.0422622349199861,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step128,0.11228078850000145,0.24822557130000295,0.25833972848000714,0.11900962299999662,0.2524373532000112,0.26541404577998834,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step12_r4_best_native_reconstruction,0.08149474100001441,0.10088604799996688,0.11520924194000857,0.0895096669999873,0.10575951069999405,0.1183792417700073,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step12_r4_majority_vote,0.08790270200000805,0.09927159330001131,0.11083159591001504,0.09184730699996635,0.10453758390000017,0.11423614912000118,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step12_r4_random_restart_selection,0.08517805750001628,0.1006440398000052,0.12496680167998991,0.09131000849998827,0.1069220687999973,0.12849235538999268,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step32,0.054274886500010666,0.072763637099996,0.0910908162900046,0.05942660550002188,0.07725509469998713,0.09895054865998448,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step32_r4_best_native_reconstruction,0.21783728100004396,0.2354441816000133,0.26452474311001056,0.2249599735000345,0.24247553879994824,0.27106938366002203,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step32_r4_majority_vote,0.20580759649998015,0.2454433150999762,0.26747152189998136,0.21040535299999874,0.2495613884999898,0.27140732557997216,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step32_r4_random_restart_selection,0.21881260350001241,0.2423834793000168,0.2672886605700435,0.22289015649997168,0.24596332560001033,0.26980814005004106,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_step64,0.10299080349999201,0.12877039589999129,0.13809594933999278,0.10659168149999232,0.13690760639998986,0.1461479218699873,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_wallclock_matched_bcf_median,0.045943459000000075,0.05637886209999011,0.058447147440022315,0.05251598049997597,0.060755218599993555,0.06532776217000873,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,512,MAP,map_512_wallclock_matched_bcf_p90,0.11145107099999052,0.11933474369995736,0.13137661872002582,0.11724304750001124,0.12966779810000162,0.13746931602001128,True
