schema_version,cell_id,cell_classification,dimensions,substrate,arm_id,trials,exact_recovery_rate,exact_recovery_ci_low,exact_recovery_ci_high,partial_recovery_rate,per_factor_accuracy,wrong_tuple_output_rate,mean_executed_steps,mean_restart_count
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_step12,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,12,1
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_step128,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,128,1
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_step12_r4_best_native_reconstruction,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,48,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_step12_r4_majority_vote,16,0.0,0.0,0.1936076805344365,0.125,0.041666666666666664,1.0,48,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_step12_r4_random_restart_selection,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,48,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_step32,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,32,1
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_step32_r4_best_native_reconstruction,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,128,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_step32_r4_majority_vote,16,0.0,0.0,0.1936076805344365,0.0625,0.020833333333333332,1.0,128,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_step32_r4_random_restart_selection,16,0.0,0.0,0.1936076805344365,0.0625,0.020833333333333332,1.0,128,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_step64,16,0.0,0.0,0.1936076805344365,0.0625,0.020833333333333332,1.0,64,1
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_wallclock_matched_bcf_median,16,0.0,0.0,0.1936076805344365,0.0625,0.020833333333333332,1.0,96,8
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,512,MAP,map_512_wallclock_matched_bcf_p90,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,344.25,28.6875
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_step12,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,12,1
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_step128,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,128,1
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_step12_r4_best_native_reconstruction,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,48,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_step12_r4_majority_vote,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,48,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_step12_r4_random_restart_selection,16,0.0,0.0,0.1936076805344365,0.25,0.08333333333333333,1.0,48,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_step32,16,0.0,0.0,0.1936076805344365,0.125,0.041666666666666664,1.0,32,1
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_step32_r4_best_native_reconstruction,16,0.0,0.0,0.1936076805344365,0.0625,0.020833333333333332,1.0,128,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_step32_r4_majority_vote,16,0.0,0.0,0.1936076805344365,0.0,0.0,1.0,128,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_step32_r4_random_restart_selection,16,0.0,0.0,0.1936076805344365,0.0625,0.020833333333333332,1.0,127.25,4
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_step64,16,0.0,0.0,0.1936076805344365,0.0625,0.020833333333333332,1.0,64,1
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_wallclock_matched_bcf_median,16,0.0,0.0,0.1936076805344365,0.125,0.041666666666666664,1.0,95.25,7.9375
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,HEAVY_EXPLORATORY,1024,MAP,map_1024_wallclock_matched_bcf_p90,16,0.0625,0.01111934476464252,0.28328737570298945,0.125,0.10416666666666667,0.9375,341,28.4375
