schema_version,seed_split,cell_id,operating_point_label,substrate,method_id,subset_size_label,context_accuracy,anomaly_rate,representation_dimension,trials,exact_recovery_rate,partial_recovery_rate,failure_rate,per_factor_recovery_rate,truth_inclusion_rate,mean_iterations,mean_materialization_time_sec,mean_factorization_time_sec,mean_end_to_end_task_time_sec,mean_native_codebook_bytes,mean_native_observation_bytes,mean_runtime_state_bytes,mean_peak_cuda_memory_bytes,mean_peak_cpu_memory_bytes,same_device_timing_status,bcf_config_id,upstream_commit_sha
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,BCF,oracle_truth_included_quarter,quarter,0.9,0.1,512,64,1.0,0.0,0.0,1.0,1.0,2.0,0.050132846890278415,0.03119264356240592,0.08132549045268433,12384.0,2048.0,6144.0,9033680.0,1088471040.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,BCF,random_unconditional_half,half,0.9,0.1,512,64,0.265625,0.359375,0.375,0.4010416666666667,0.265625,6.40625,0.055299986468526185,0.10520368942155756,0.16050367589008374,18576.0,2048.0,6144.0,9049112.0,1088452608.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,BCF,random_unconditional_quarter,quarter,0.9,0.1,512,64,0.125,0.34375,0.53125,0.265625,0.125,7.25,0.04920918753100523,0.11684666798447552,0.16605585551548074,12384.0,2048.0,6144.0,9046800.0,1088454656.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,BCF,semantic_l2_half,half,0.9,0.1,512,64,0.421875,0.34375,0.234375,0.59375,0.421875,5.46875,0.055498598890437734,0.09190685390603903,0.14740545279647677,18576.0,2048.0,6144.0,9041400.0,1088466944.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,BCF,semantic_l2_quarter,quarter,0.9,0.1,512,64,0.203125,0.546875,0.25,0.4895833333333333,0.203125,6.78125,0.05101293606253421,0.11680507328128442,0.16781800934381863,12384.0,2048.0,6144.0,9042904.0,1088468992.0,same_wsl_gpu,official_hp_d512_b4_m10,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,MAP,global,full,0.9,0.1,256,64,1.0,0.0,0.0,1.0,1.0,3.078125,0.019160483453163124,0.014405290421620975,0.0335657738747841,15360.0,1024.0,3132.0,9102432.0,1087072256.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,MAP,oracle_truth_included_half,half,0.9,0.1,256,64,1.0,0.0,0.0,1.0,1.0,3.0,0.016383081515755293,0.005789748109634729,0.022172829625390023,15360.0,1024.0,3108.0,9047040.0,1088468992.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,MAP,oracle_truth_included_quarter,quarter,0.9,0.1,256,64,1.0,0.0,0.0,1.0,1.0,3.0,0.016423239250229926,0.005855780656474963,0.02227901990670489,15360.0,1024.0,3096.0,9037328.0,1088471040.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,MAP,random_unconditional_half,half,0.9,0.1,256,64,0.265625,0.296875,0.4375,0.390625,0.265625,7.203125,0.016634143937437784,0.014608334265687972,0.031242478203125756,15360.0,1024.0,3108.0,9050080.0,1088452608.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,MAP,random_unconditional_quarter,quarter,0.9,0.1,256,64,0.125,0.421875,0.453125,0.28125,0.125,4.65625,0.016533018187431026,0.009765385406353744,0.02629840359378477,15360.0,1024.0,3096.0,9054736.0,1088452608.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,MAP,semantic_l2_half,half,0.9,0.1,256,64,0.421875,0.28125,0.296875,0.53125,0.421875,5.3125,0.016497526281284536,0.010777805734392132,0.027275332015676668,15360.0,1024.0,3108.0,9042144.0,1088466944.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
level1f3-single-product-v1,heldout,EASY_SINGLE,EASY_SINGLE,MAP,semantic_l2_quarter,quarter,0.9,0.1,256,64,0.203125,0.421875,0.375,0.3854166666666667,0.203125,4.1875,0.016573429421725905,0.00856807723454267,0.025141506656268575,15360.0,1024.0,3096.0,9047056.0,1088468992.0,same_wsl_gpu,,a353f1e918dcb515cad4a89c8e47ce24668954a7
