schema_version,seed_split,operating_point_label,method,control_label,anomaly_rate,context_accuracy,prior_strength,candidate_subset_size,trials,designated_target_recovery_rate,designated_target_recovery_ci_low,designated_target_recovery_ci_high,query_valid_recovery_rate,query_valid_recovery_ci_low,query_valid_recovery_ci_high,query_equivalent_valid_rate,irrelevant_source_capture_rate,hybrid_spurious_rate,hybrid_spurious_ci_low,hybrid_spurious_ci_high,unsettled_rate,all_truth_included_rate,query_valid_source_included_rate,factor_candidate_recall_rate,target_recovery_given_all_truth_included,valid_recovery_given_all_truth_included,target_recovery_given_truth_missing,mean_iterations_used,mean_candidate_evaluations_proxy,mean_element_operations_proxy,mean_normalized_margin,mean_normalized_reconstruction_similarity,context_prediction_correct_rate,python_version,torch_version,torchhd_version,platform
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_context_metadata,0.25,1.0,,3,64,0.015625,0.0027634707504014117,0.08334298900290629,0.015625,0.0027634707504014117,0.08334298900290629,0.0,0.0,0.234375,0.1474976721963502,0.35133490250707655,0.75,0.015625,0.015625,0.3046875,1.0,1.0,0.0,10.4375,125.25,128256.0,0.5063467505387962,0.020172119140625,1.0,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_query_context,0.0,0.7,,3,64,0.046875,0.016068725432185196,0.12899860788542522,0.046875,0.016068725432185196,0.12899860788542522,0.0,0.0,0.296875,0.19904999589075245,0.4177043259412798,0.65625,0.046875,0.046875,0.27734375,1.0,1.0,0.0,10.09375,121.125,124032.0,0.5696117451298051,0.04510498046875,0.734375,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_query_context,0.0,0.9,,3,64,0.09375,0.04367765783128784,0.1898309858327767,0.09375,0.04367765783128784,0.1898309858327767,0.0,0.0,0.265625,0.17296238569537764,0.38483106257235195,0.640625,0.09375,0.09375,0.33203125,1.0,1.0,0.0,9.796875,117.5625,120384.0,0.6000914972391911,0.0941162109375,0.921875,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_query_context,0.0,1.0,,3,64,0.125,0.06472165392620802,0.2277478633021592,0.125,0.06472165392620802,0.2277478633021592,0.0,0.0,0.234375,0.1474976721963502,0.35133490250707655,0.640625,0.125,0.125,0.36328125,1.0,1.0,0.0,9.640625,115.6875,118464.0,0.6118941705790348,0.123992919921875,1.0,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_query_context,0.1,0.7,,3,64,0.015625,0.0027634707504014117,0.08334298900290629,0.015625,0.0027634707504014117,0.08334298900290629,0.0,0.0,0.25,0.16014791974174092,0.36816509174383727,0.734375,0.015625,0.015625,0.26953125,1.0,1.0,0.0,10.5625,126.75,129792.0,0.5444907329510897,0.01458740234375,0.734375,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_query_context,0.1,0.9,,3,64,0.0625,0.024570803674792932,0.14997696642496888,0.0625,0.024570803674792932,0.14997696642496888,0.0,0.0,0.21875,0.13502197461349755,0.3343301633077779,0.71875,0.0625,0.0625,0.3203125,1.0,1.0,0.0,10.265625,123.1875,126144.0,0.5658988803625107,0.06317138671875,0.921875,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_query_context,0.1,1.0,,3,64,0.0625,0.024570803674792932,0.14997696642496888,0.0625,0.024570803674792932,0.14997696642496888,0.0,0.0,0.203125,0.12273302562695813,0.3171386755121659,0.734375,0.0625,0.0625,0.33984375,1.0,1.0,0.0,10.375,124.5,127488.0,0.5662727206945419,0.0601806640625,1.0,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_query_context,0.25,0.7,,3,64,0.0,0.0,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.265625,0.17296238569537764,0.38483106257235195,0.734375,0.0,0.0,0.28125,,,0.0,10.796875,129.5625,132672.0,0.48155318619683385,-0.0020751953125,0.734375,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_query_context,0.25,0.9,,3,64,0.046875,0.016068725432185196,0.12899860788542522,0.046875,0.016068725432185196,0.12899860788542522,0.0,0.0,0.234375,0.1474976721963502,0.35133490250707655,0.71875,0.046875,0.046875,0.34765625,1.0,1.0,0.0,10.4375,125.25,128256.0,0.5089249230222777,0.046966552734375,0.921875,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
level1-query-v4,evaluation,COLLAPSE_SINGLE,hard_l2_topk,shuffled_query_context,0.25,1.0,,3,64,0.046875,0.016068725432185196,0.12899860788542522,0.046875,0.016068725432185196,0.12899860788542522,0.0,0.0,0.1875,0.11064534880922099,0.2997459155477517,0.765625,0.046875,0.046875,0.359375,1.0,1.0,0.0,10.640625,127.6875,130752.0,0.5058121300535277,0.0423583984375,1.0,3.14.5,2.12.0+cpu,5.8.4,Windows-11-10.0.26100-SP0
