schema_version,method_id,budget_contract,corruption_cell,outcome,rate
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,NO_TRACE,0.203125
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,NO_TRACE,0.203125
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,NO_TRACE,0.203125
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,NO_TRACE,0.203125
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,ACCEPT,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,NO_TRACE,0.203125
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,NO_TRACE,0.203125
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,NO_TRACE,0.203125
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,NO_TRACE,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,ACCEPT,1.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,NO_TRACE,0.203125
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,NO_TRACE,0.203125
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,RECONSTRUCTION_MISMATCH,0.0
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,ACCEPT,0.796875
exact-capsule-contract-closure-dev-v1,E0_known_record_sidecar_oracle,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,NO_TRACE,0.203125
