schema_version,method_id,budget_contract,corruption_cell,capsule_parse_p50_sec,semantic_fallback_p50_sec,replay_p50_sec,total_p50_sec,total_p95_sec,total_p99_sec
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,9.00006853044033e-07,0.0,0.0,1.9000144675374031e-06,8.570047793909907e-06,9.059025906026362e-06
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,6.800051778554916e-06,0.0,0.0,8.000002708286047e-06,1.529000001028177e-05,2.8498941101133767e-05
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,1.7700018361210823e-05,0.0,0.000228749995585531,0.0005624499754048884,0.0009607298998162149,0.0013340879790484901
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,9.90001717582345e-06,0.0,0.0,1.4700053725391626e-05,0.0006945300381630653,0.0007834510458633302
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,6.250047590583563e-06,0.0,0.0,8.150062058120966e-06,0.0006164999736938624,0.000851405998691916
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C4_CAPSULE_ERASED,8.00006091594696e-07,0.0,0.0,1.800013706088066e-06,2.4550186935812215e-06,4.906994290649889e-06
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C5_CAPSULE_TRUNCATED,9.00006853044033e-07,0.0,0.0,1.9000144675374031e-06,3.1400239095091797e-06,1.1315043084323357e-05
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C6_WRONG_VALID_CAPSULE,1.8300022929906845e-05,0.0,0.00024369999300688505,0.0005922499694861472,0.0009469500801060344,0.0011037229537032543
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C7_STALE_CAPSULE,6.700051017105579e-06,0.0,0.0,7.800059393048286e-06,1.2479978613555428e-05,1.8006020691245785e-05
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,2.600019797682762e-06,0.0,0.0,3.6499695852398872e-06,4.509935388341543e-06,5.499968538060784e-06
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,5.400041118264198e-06,0.0,0.0,6.500049494206905e-06,8.309946861118076e-06,1.1963974684476833e-05
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,1.8000020645558834e-05,0.0,0.00024010008201003075,0.0005672500119544566,0.0007980049413163213,0.0008928960212506352
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,9.00006853044033e-07,0.0,0.0,1.9000144675374031e-06,8.885050192475317e-06,1.0392079129815098e-05
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,6.3999323174357414e-06,0.0,0.0,7.499998901039362e-06,9.1199530288577e-06,1.0159034281969069e-05
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,1.7950020264834166e-05,0.0,0.0002303500077687204,0.000559949956368655,0.0008167450490873307,0.0009074560587760059
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,7.850059773772955e-06,0.0,0.0,9.600014891475439e-06,0.0005945400043856351,0.0007600089244078834
