schema_version,cell_id,substrate,method_id,k_label,trials,factor_count,per_factor_truth_inclusion_rate,all_truth_included_count,all_truth_included_rate,all_truth_included_ci_low,all_truth_included_ci_high,exact_recovery_count,exact_recovery_rate,exact_recovery_ci_low,exact_recovery_ci_high,truth_missing_count,exact_given_all_truth_included,exact_given_all_truth_included_ci_low,exact_given_all_truth_included_ci_high,exact_given_truth_missing,exact_and_truth_missing_count,invariant_exact_requires_all_truth_included
level1f4-analysis-v1,COLLAPSE_SINGLE_PRIMARY,MAP,semantic_l2_quarter,quarter,128,4,0.6875,37,0.289062,0.217583,0.372835,37,0.289062,0.217583,0.372835,91,1.0,0.905939,1.0,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,BCF,global,full,64,4,1.0,64,1.0,0.943374,1.0,5,0.078125,0.033831,0.170198,0,0.078125,0.033831,0.170198,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,BCF,oracle_truth_included_half,half,64,4,1.0,64,1.0,0.943374,1.0,40,0.625,0.502502,0.733342,0,0.625,0.502502,0.733342,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,BCF,oracle_truth_included_quarter,quarter,64,4,1.0,64,1.0,0.943374,1.0,64,1.0,0.943374,1.0,0,1.0,0.943374,1.0,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,BCF,random_unconditional_half,half,64,4,0.539062,3,0.046875,0.016069,0.128999,2,0.03125,0.008612,0.106975,61,0.666667,0.207655,0.93851,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,BCF,random_unconditional_quarter,quarter,64,4,0.265625,0,0.0,0.0,0.056626,0,0.0,0.0,0.056626,64,,,,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,BCF,semantic_l2_half,half,64,4,0.695312,15,0.234375,0.147498,0.351335,13,0.203125,0.122733,0.317139,49,0.866667,0.621175,0.96264,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,BCF,semantic_l2_quarter,quarter,64,4,0.582031,10,0.15625,0.087147,0.264283,10,0.15625,0.087147,0.264283,54,1.0,0.72246,1.0,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,MAP,global,full,64,4,1.0,64,1.0,0.943374,1.0,8,0.125,0.064722,0.227748,0,0.125,0.064722,0.227748,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,MAP,oracle_truth_included_half,half,64,4,1.0,64,1.0,0.943374,1.0,57,0.890625,0.791011,0.946,0,0.890625,0.791011,0.946,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,MAP,oracle_truth_included_quarter,quarter,64,4,1.0,64,1.0,0.943374,1.0,64,1.0,0.943374,1.0,0,1.0,0.943374,1.0,,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,MAP,random_unconditional_half,half,64,4,0.539062,3,0.046875,0.016069,0.128999,3,0.046875,0.016069,0.128999,61,1.0,0.438494,1.0,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,MAP,random_unconditional_quarter,quarter,64,4,0.265625,0,0.0,0.0,0.056626,0,0.0,0.0,0.056626,64,,,,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,MAP,semantic_l2_half,half,64,4,0.695312,15,0.234375,0.147498,0.351335,14,0.21875,0.135022,0.33433,49,0.933333,0.701829,0.988133,0.0,0,True
level1f4-analysis-v1,COLLAPSE_SINGLE_STRESS,MAP,semantic_l2_quarter,quarter,64,4,0.582031,10,0.15625,0.087147,0.264283,10,0.15625,0.087147,0.264283,54,1.0,0.72246,1.0,0.0,0,True
level1f4-analysis-v1,EASY_SINGLE,BCF,global,full,64,3,1.0,64,1.0,0.943374,1.0,64,1.0,0.943374,1.0,0,1.0,0.943374,1.0,,0,True
level1f4-analysis-v1,EASY_SINGLE,BCF,oracle_truth_included_half,half,64,3,1.0,64,1.0,0.943374,1.0,64,1.0,0.943374,1.0,0,1.0,0.943374,1.0,,0,True
level1f4-analysis-v1,EASY_SINGLE,BCF,oracle_truth_included_quarter,quarter,64,3,1.0,64,1.0,0.943374,1.0,64,1.0,0.943374,1.0,0,1.0,0.943374,1.0,,0,True
level1f4-analysis-v1,EASY_SINGLE,BCF,random_unconditional_half,half,64,3,0.640625,17,0.265625,0.172962,0.384831,17,0.265625,0.172962,0.384831,47,1.0,0.815676,1.0,0.0,0,True
level1f4-analysis-v1,EASY_SINGLE,BCF,random_unconditional_quarter,quarter,64,3,0.401042,8,0.125,0.064722,0.227748,8,0.125,0.064722,0.227748,56,1.0,0.675584,1.0,0.0,0,True
level1f4-analysis-v1,EASY_SINGLE,BCF,semantic_l2_half,half,64,3,0.739583,27,0.421875,0.308696,0.543902,27,0.421875,0.308696,0.543902,37,1.0,0.875441,1.0,0.0,0,True
level1f4-analysis-v1,EASY_SINGLE,BCF,semantic_l2_quarter,quarter,64,3,0.59375,13,0.203125,0.122733,0.317139,13,0.203125,0.122733,0.317139,51,1.0,0.771898,1.0,0.0,0,True
level1f4-analysis-v1,EASY_SINGLE,MAP,global,full,64,3,1.0,64,1.0,0.943374,1.0,64,1.0,0.943374,1.0,0,1.0,0.943374,1.0,,0,True
level1f4-analysis-v1,EASY_SINGLE,MAP,oracle_truth_included_half,half,64,3,1.0,64,1.0,0.943374,1.0,64,1.0,0.943374,1.0,0,1.0,0.943374,1.0,,0,True
level1f4-analysis-v1,EASY_SINGLE,MAP,oracle_truth_included_quarter,quarter,64,3,1.0,64,1.0,0.943374,1.0,64,1.0,0.943374,1.0,0,1.0,0.943374,1.0,,0,True
level1f4-analysis-v1,EASY_SINGLE,MAP,random_unconditional_half,half,64,3,0.640625,17,0.265625,0.172962,0.384831,17,0.265625,0.172962,0.384831,47,1.0,0.815676,1.0,0.0,0,True
level1f4-analysis-v1,EASY_SINGLE,MAP,random_unconditional_quarter,quarter,64,3,0.401042,8,0.125,0.064722,0.227748,8,0.125,0.064722,0.227748,56,1.0,0.675584,1.0,0.0,0,True
level1f4-analysis-v1,EASY_SINGLE,MAP,semantic_l2_half,half,64,3,0.739583,27,0.421875,0.308696,0.543902,27,0.421875,0.308696,0.543902,37,1.0,0.875441,1.0,0.0,0,True
level1f4-analysis-v1,EASY_SINGLE,MAP,semantic_l2_quarter,quarter,64,3,0.59375,13,0.203125,0.122733,0.317139,13,0.203125,0.122733,0.317139,51,1.0,0.771898,1.0,0.0,0,True
