schema_version,method_id,budget_contract,trace_dimensions,corruption_cell,trials,trace_spike_recall_at_1,trace_spike_recall_at_8,trace_spike_recall_at_32,trace_spike_candidate_count_mean,trace_spike_candidate_count_p50,trace_spike_candidate_count_p95,exact_trace_selection_rate,conditional_risk_among_accepted,accepted_coverage,decoder_families_attempted_mean,decoder_invocations_mean,factor_or_replay_candidates_evaluated_mean,verified_reconstruction_rate,wrong_decoder_invocations_mean,time_to_verified_reconstruction_p50,ambiguity_detection_rate,silent_wrong_trace_rate,abstention_rate,expansion_rate
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C2_CAPSULE_ONLY,128,0.75,0.75,0.75,32,32.0,32.0,0.421875,0.0,0.421875,0.421875,0.421875,18.921875,0.328125,0.09375,0.0,0.25,0,0.03125,0.078125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,128,0.75,0.75,0.75,32,32.0,32.0,0.40625,0.0,0.40625,0.40625,0.40625,19.40625,0.3203125,0.0859375,0.0,0.25,0,0,0.09375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C4_CAPSULE_MISSING,128,0.75,0.75,0.75,32,32.0,32.0,0.40625,0.0,0.40625,0.40625,0.40625,19.40625,0.3125,0.09375,0.0,0.25,0,0.03125,0.09375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C5_SEMANTIC_PARTIAL_MASK,128,0.75,0.75,0.75,32,32.0,32.0,0.3671875,0.0,0.3671875,0.3671875,0.3671875,20.6171875,0.2890625,0.078125,0.0,0.25,0,0,0.1328125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,64,C6_WRONG_VALID_CAPSULE,128,0.75,0.75,0.75,32,32.0,32.0,0.4296875,0.0,0.4296875,0.4296875,0.4296875,18.6796875,0.359375,0.0703125,0.0,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C0_CLEAN,128,0.75,0.75,0.75,32,32.0,32.0,0.4296875,0.0,0.4296875,0.4296875,0.4296875,18.6796875,0.328125,0.1015625,0.0,0.25,0,0.125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C1_SEMANTIC_ONLY,128,0.75,0.75,0.75,32,32.0,32.0,0.4296875,0.0,0.4296875,0.4296875,0.4296875,18.6796875,0.34375,0.0859375,0.0,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C2_CAPSULE_ONLY,128,0.75,0.75,0.75,32,32.0,32.0,0.4140625,0.0,0.4140625,0.4140625,0.4140625,19.1640625,0.359375,0.0546875,0.0,0.25,0,0.125,0.0859375
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C3_SEMANTIC_AND_CAPSULE,128,0.75,0.75,0.75,32,32.0,32.0,0.4296875,0.0,0.4296875,0.4296875,0.4296875,18.6796875,0.359375,0.0703125,0.0,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C4_CAPSULE_MISSING,128,0.75,0.75,0.75,32,32.0,32.0,0.4296875,0.0,0.4296875,0.4296875,0.4296875,18.6796875,0.375,0.0546875,0.0,0.25,0,0.125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C5_SEMANTIC_PARTIAL_MASK,128,0.75,0.75,0.75,32,32.0,32.0,0.4296875,0.0,0.4296875,0.4296875,0.4296875,18.6796875,0.375,0.0546875,0.0,0.25,0,0.03125,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_SEMANTIC_CAPACITY,128,C6_WRONG_VALID_CAPSULE,128,0.75,0.75,0.75,32,32.0,32.0,0.4375,0.0,0.4375,0.4375,0.4375,18.4375,0.359375,0.078125,0.0,0.25,0,0.125,0.0625
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,0,C0_CLEAN,128,0.75,0.75,0.75,32,32.0,32.0,0.4296875,0.0,0.4296875,0.4296875,0.4296875,18.6796875,0.3515625,0.078125,0.0,0.25,0,0,0.0703125
first-order-trace-coactivation-dev-v1,B1_conventional_semantic_lookup_sidecar,FIXED_TOTAL_CAPACITY,0,C1_SEMANTIC_ONLY,128,0.75,0.75,0.75,32,32.0,32.0,0.4140625,0.0,0.4140625,0.4140625,0.4140625,19.1640625,0.3359375,0.078125,0.0,0.25,0,0,0.0859375
