schema_version,method_id,budget_contract,trace_dimensions,corruption_cell,decoder_families_attempted_mean,decoder_invocations_mean,factor_or_replay_candidates_evaluated_mean,verified_reconstruction_rate,wrong_decoder_invocations_mean,time_to_verified_reconstruction_p50
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C0_CLEAN,0.4296875,0.4296875,18.6796875,0.3515625,0.078125,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C1_SEMANTIC_ONLY,0.4140625,0.4140625,19.1640625,0.3359375,0.078125,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C2_CAPSULE_ONLY,0.3984375,0.3984375,19.6484375,0.3515625,0.046875,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,0.421875,0.421875,18.921875,0.359375,0.0625,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C4_CAPSULE_MISSING,0.421875,0.421875,18.921875,0.359375,0.0625,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,0.3828125,0.3828125,20.1328125,0.296875,0.0859375,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,0,C6_WRONG_VALID_CAPSULE,0.4375,0.4375,18.4375,0.3828125,0.0546875,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,64,C0_CLEAN,0.3984375,0.3984375,19.6484375,0.125,0.2734375,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,64,C1_SEMANTIC_ONLY,0.421875,0.421875,18.921875,0.140625,0.28125,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,64,C2_CAPSULE_ONLY,0.4296875,0.4296875,18.6796875,0.109375,0.3203125,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,0.3984375,0.3984375,19.6484375,0.1328125,0.265625,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,64,C4_CAPSULE_MISSING,0.4609375,0.4609375,17.7109375,0.1328125,0.328125,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,64,C5_SEMANTIC_PARTIAL_MASK,0.453125,0.453125,17.953125,0.140625,0.3125,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,64,C6_WRONG_VALID_CAPSULE,0.421875,0.421875,18.921875,0.1328125,0.2890625,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,128,C0_CLEAN,0.46875,0.46875,17.46875,0.15625,0.3125,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,128,C1_SEMANTIC_ONLY,0.4453125,0.4453125,18.1953125,0.125,0.3203125,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,128,C2_CAPSULE_ONLY,0.40625,0.40625,19.40625,0.109375,0.296875,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,128,C3_SEMANTIC_AND_CAPSULE,0.453125,0.453125,17.953125,0.1328125,0.3203125,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,128,C4_CAPSULE_MISSING,0.375,0.375,20.375,0.109375,0.265625,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,128,C5_SEMANTIC_PARTIAL_MASK,0.4296875,0.4296875,18.6796875,0.1171875,0.3125,0.0
first-order-trace-coactivation-dev-v1,B2_semantic_to_trace_bridge,FIXED_TOTAL_CAPACITY,128,C6_WRONG_VALID_CAPSULE,0.4375,0.4375,18.4375,0.140625,0.296875,0.0
first-order-trace-coactivation-dev-v1,B3_carried_exact_random_capsule,FIXED_SEMANTIC_CAPACITY,64,C0_CLEAN,0.75,0.75,8.75,0.65625,0.09375,0.00017709995154291391
