schema_version,dataset_id,record_count,method_id,corruption_probability,trials,trace_recall_at_1,trace_recall_at_8,trace_recall_at_32,trace_recall_at_32_ci_low,trace_recall_at_32_ci_high,candidate_set_size_median,candidate_set_size_mean,candidate_reduction_ratio,operation_family_accuracy,arity_accuracy,namespace_contract_accuracy,wrong_trace_top1_rate,wrong_trace_acceptance_rate,abstention_rate,expansion_rate,fallback_rate,routing_latency_sec_median,reranking_latency_sec_median,total_query_latency_sec_median,verified_correct_trace_retrieval_per_candidate,expected_decoder_family_invocations_avoided,bucket_occupancy_mean,bucket_occupancy_p50,bucket_occupancy_p95,bucket_occupancy_p99,empty_bucket_rate,collision_rate,posting_count,memory_bytes_estimate,index_build_latency_sec
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B4_multi_table_lsh,0.05,32,0.375,0.375,0.375,0.22933887309454212,0.5474559264692255,2.0,1.71875,0.99828125,0.46875,0.46875,0.46875,0.625,0,0.8125,0,0.1875,0.0001702000154182315,0.0004844000213779509,0.0006478500436060131,0.0,998.28125,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.15804279991425574
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B5_bounded_multi_probe_lsh,0.05,32,0.3125,0.3125,0.3125,0.17952541633609734,0.4856667830095541,5.0,4.75,0.99525,0.5,0.5625,0.5,0.6875,0,0.8125,1,0.1875,0.0009478499996475875,0.0011255500139668584,0.002152999979443848,0.0,995.25,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.1630874000256881
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B0_global_exact_semantic_scan,0.1,32,1,1,1,0.8928208017449293,1.0,1000.0,1000,0.0,1,1,1,0,0,1,0,0,8.00006091594696e-07,0.16110020002815872,0.16110110003501177,0.0,0,1000.0,1000.0,1000.0,1000.0,0.0,1.0,1000.0,4096000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B1_exact_content_hash_only,0.1,32,0,0,0,0.0,0.1071791982550706,0.0,0,1.0,0,0,0,1,0,1,0,0,9.765004506334662e-05,2.00001522898674e-07,9.784998837858438e-05,0.0,1000,1.0,1.0,1.0,1.0,0.0,0.0,1000.0,80000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B2_random_bucket_routing,0.1,32,0,0,0,0.0,0.1071791982550706,4.0,4.3125,0.9956875,0.09375,0.125,0.09375,1,0,0,1,1,5.794997559860349e-05,0.0011858499492518604,0.0012633499572984874,0.0,995.6875,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,4000.0,106456,0.011547200032509863
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B3_one_table_lsh,0.1,32,0.03125,0.03125,0.03125,0.005537860164003122,0.15744263820012558,0.0,0.3125,0.9996875,0.03125,0.03125,0.03125,0.96875,0,0.25,0,0.75,8.995004463940859e-05,2.00001522898674e-07,9.250000584870577e-05,0.0,999.6875,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,1000.0,75568,0.06275869999080896
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B4_multi_table_lsh,0.1,32,0.15625,0.15625,0.15625,0.0686442028250571,0.3175414959753039,1.0,1.1875,0.9988125,0.21875,0.25,0.21875,0.84375,0,0.65625,0,0.34375,0.00016709999181330204,0.0003306999569758773,0.000499349960591644,0.0,998.8125,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.15804279991425574
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B5_bounded_multi_probe_lsh,0.1,32,0.1875,0.1875,0.1875,0.08889544689565954,0.3530915520137596,4.5,4.5,0.9955,0.40625,0.46875,0.40625,0.8125,0,0.6875,1,0.3125,0.0009433499653823674,0.0010268500191159546,0.002075049909763038,0.0,995.5,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.1630874000256881
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B0_global_exact_semantic_scan,0.15,32,1,1,1,0.8928208017449293,1.0,1000.0,1000,0.0,1,1,1,0,0,1,0,0,8.00006091594696e-07,0.15977445000316948,0.15977525000926107,0.0,0,1000.0,1000.0,1000.0,1000.0,0.0,1.0,1000.0,4096000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B1_exact_content_hash_only,0.15,32,0,0,0,0.0,0.1071791982550706,0.0,0,1.0,0,0,0,1,0,1,0,0,9.659992065280676e-05,2.00001522898674e-07,9.679992217570543e-05,0.0,1000,1.0,1.0,1.0,1.0,0.0,0.0,1000.0,80000,0.0
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B2_random_bucket_routing,0.15,32,0.03125,0.03125,0.03125,0.005537860164003122,0.15744263820012558,4.0,3.84375,0.99615625,0.15625,0.21875,0.15625,0.96875,0,0,1,1,5.630002124235034e-05,0.0009106500074267387,0.0009679500362835824,0.0,996.15625,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,4000.0,106456,0.011547200032509863
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B3_one_table_lsh,0.15,32,0,0,0,0.0,0.1071791982550706,0.0,0.25,0.99975,0.03125,0.0625,0.03125,1,0,0.21875,0,0.78125,8.994998643174767e-05,2.00001522898674e-07,9.119999594986439e-05,0.0,999.75,1.152073732718894,1.0,2.0,3.0,0.7880859375,0.1359447004608295,1000.0,75568,0.06275869999080896
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B4_multi_table_lsh,0.15,32,0.0625,0.0625,0.0625,0.017310567031640967,0.2014712314415458,1.0,1.25,0.99875,0.125,0.25,0.125,0.9375,0,0.65625,0,0.34375,0.00016584998229518533,0.0003493499825708568,0.0005216000135987997,0.0,998.75,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.15804279991425574
lazy-semantic-trace-stage-a-dev-v1,n1000,1000,B5_bounded_multi_probe_lsh,0.15,32,0.09375,0.09375,0.09375,0.032401551298366194,0.24218154728387864,4.0,3.90625,0.99609375,0.3125,0.375,0.3125,0.90625,0,0.5,1,0.5,0.0009442500304430723,0.0009474499383941293,0.001993000041693449,0.0,996.09375,1.1477761836441893,1.0,2.0,3.0,0.78729248046875,0.13314203730272597,4000.0,302428,0.1630874000256881
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B0_global_exact_semantic_scan,0.0,32,1,1,1,0.8928208017449293,1.0,10000.0,10000,0.0,1,1,1,0,0,0,0,0,9.00006853044033e-07,1.579203850007616,1.5792046500137076,0.0001,0,10000.0,10000.0,10000.0,10000.0,0.0,1.0,10000.0,40960000,0.0
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B1_exact_content_hash_only,0.0,32,1,1,1,0.8928208017449293,1.0,1.0,1,0.9999,1,1,1,0,0,0,0,0,0.00013990007573738694,0.00039190001552924514,0.0005577000556513667,1.0,9999,1.0,1.0,1.0,1.0,0.0,0.0,10000.0,810000,0.0
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B2_random_bucket_routing,0.0,32,0.03125,0.03125,0.03125,0.005537860164003122,0.15744263820012558,40.0,40.46875,0.995953125,0.28125,0.375,0.28125,0.96875,0,0,1,0.96875,7.270002970471978e-05,0.008436999982222915,0.008507699938490987,0.0008928571428571428,9959.53125,2.735229759299781,2.0,6.0,7.0,0.107421875,0.7571115973741794,40000.0,859328,0.10408199997618794
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B3_one_table_lsh,0.0,32,1,1,1,0.8928208017449293,1.0,4.0,3.96875,0.999603125,1,1,1,0,0,0,0,0,0.00010155001655220985,0.0009217500337399542,0.0010238499962724745,0.34696180555555556,9996.03125,2.735229759299781,2.0,6.0,7.0,0.107421875,0.7571115973741794,10000.0,263024,0.6445622000610456
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B4_multi_table_lsh,0.0,32,1,1,1,0.8928208017449293,1.0,11.0,11.375,0.9988625,1,1,1,0,0,0,0,0,0.0001820499892346561,0.0022580999066121876,0.002450249914545566,0.09769791517929095,9988.625,2.7183146449201496,2.0,6.0,7.0,0.10186767578125,0.7531090723751275,40000.0,1053188,1.5029455999610946
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B5_bounded_multi_probe_lsh,0.0,32,1,1,1,0.8928208017449293,1.0,40.0,40.75,0.995925,1,1,1,0,0,0,1,0,0.0010222999844700098,0.008794750028755516,0.010045600065495819,0.025185205785137586,9959.25,2.7183146449201496,2.0,6.0,7.0,0.10186767578125,0.7531090723751275,40000.0,1053188,1.4937000999925658
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B0_global_exact_semantic_scan,0.01,32,1,1,1,0.8928208017449293,1.0,10000.0,10000,0.0,1,1,1,0,0,0.21875,0,0,9.00006853044033e-07,1.5735830499907024,1.5735841499990784,7.8125e-05,0,10000.0,10000.0,10000.0,10000.0,0.0,1.0,10000.0,40960000,0.0
lazy-semantic-trace-stage-a-dev-v1,n10000,10000,B1_exact_content_hash_only,0.01,32,0,0,0,0.0,0.1071791982550706,0.0,0,1.0,0,0,0,1,0,1,0,0,0.00015294994227588177,2.500019036233425e-07,0.0001531999441795051,0.0,10000,1.0,1.0,1.0,1.0,0.0,0.0,10000.0,810000,0.0
