schema_version,task_class,point_id,substrate,config_id,task_generation_time_sec,representation_materialization_time_sec,decoder_initialization_time_sec,decode_time_sec,end_to_end_time_sec,observation_bytes,codebook_bytes,decoder_state_bytes,peak_ram_bytes,peak_vram_bytes
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,6.094400000122846e-05,0.002384349999999813,0.00011228299999999081,0.00039649100000005433,0.0029540680000010866,1024,131072,1280,1090297856,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,0.0006723940000021855,0.005122460999999134,0.00019574399999910952,0.0003849830000000054,0.006375582000000435,1024,131072,1280,1090297856,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,6.564799999964066e-05,0.005382151999999252,0.00011128199999888011,0.000429315000001651,0.0059883969999994235,1024,131072,1280,1090297856,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,6.714899999948898e-05,0.0013636009999977716,0.00013519900000247276,0.0007003149999995628,0.002266263999999296,1024,131072,1280,1090297856,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,8.45619999978453e-05,0.002806960999997443,0.0001382010000021694,0.0003778770000018028,0.0034076009999992607,1024,131072,1280,1090297856,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,5.5141000000702434e-05,0.0032198640000018486,0.00011128199999888011,0.0005637140000018803,0.0039500010000033114,1024,131072,1280,1090297856,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,6.86499999993373e-05,0.0049898629999987065,0.0001152839999996047,0.0005362940000033234,0.005710091000000972,1024,131072,1280,1090297856,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,8.566300000012461e-05,0.002292182999998005,0.00010607800000173029,0.0004196079999978508,0.0029035319999977105,1024,131072,1280,1090297856,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,8.806499999991502e-05,0.002768833000001081,0.00011198199999995495,0.0004277139999970814,0.003396593999998032,1024,131072,1280,1090428928,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,5.744199999924149e-05,0.004596173999999564,0.0002812060000003669,0.0011523459999978058,0.0060871679999969786,1024,131072,1280,1090428928,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,7.015199999926836e-05,0.004715961999998797,0.0002774040000019795,0.00115414700000116,0.006217665000001205,1024,131072,1280,1090428928,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,9.146800000081612e-05,0.004888288000000074,0.0001795320000006484,0.0008158989999991206,0.005975187000000659,1024,131072,1280,1090428928,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,0.00011328300000101876,0.0034011969999987457,0.00012709299999968948,0.0004426249999980314,0.004084197999997485,1024,131072,1280,1090428928,8923648
level3-1-native-envelope-dev-v1,U0,u0_d256_pairs4_m64,MAP,u0_map_d256,7.20530000002384e-05,0.0011896729999989475,0.00011278300000228114,0.0003682699999991712,0.0017427790000006382,1024,131072,1280,1090428928,8923648
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,7.595499999979438e-05,0.0044565709999986325,0.00019974600000338683,0.0004056980000015642,0.005137970000003378,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,7.355400000008672e-05,0.006265799999997768,0.00017212700000257541,0.0005768229999993935,0.007088303999999823,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,7.015199999926836e-05,0.005061116000000254,0.0001931419999969819,0.00042721399999834375,0.005751623999994848,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,7.10519999991277e-05,0.0044072349999986216,0.00023016899999817042,0.0004707460000012986,0.005179201999997218,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,7.22529999990229e-05,0.0036533819999995387,0.0001086800000003052,0.0007592579999986526,0.0045935729999975194,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,7.805799999971441e-05,0.003775371999999777,0.00011128199999888011,0.0004270130000030292,0.004391725000001401,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,0.00012259000000014453,0.004612486000002747,0.000211455000002303,0.0006348660000021766,0.005581397000007371,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,0.00012278999999892903,0.003909969999998708,0.00011188199999878634,0.00040179499999837276,0.004546436999994796,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,6.254500000224539e-05,0.005907136000001145,0.00015731599999924128,0.00039749099999752957,0.0065244880000001615,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,9.90729999976736e-05,0.005662457000003229,0.00014961000000113245,0.0006679900000001737,0.006579130000002209,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,7.265300000014463e-05,0.007575060999997163,0.00011078100000005975,0.0005682170000014253,0.008326711999998793,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,9.677099999905181e-05,0.015213067999997776,0.00011808600000051683,0.0005960380000011867,0.01602396299999853,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,7.615599999866163e-05,0.013640913999999782,0.00011588499999959367,0.0005760230000007027,0.01440897799999874,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,7.625599999983024e-05,0.0058819180000000415,0.00016932399999802783,0.0004793520000028195,0.006606850000000719,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,8.526200000247286e-05,0.012238184000000984,0.0001197879999992324,0.0004074989999978129,0.012850733000000503,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U0,u0_d512_pairs6_m128,MAP,u0_map_d512,7.255300000252873e-05,0.01489783699999947,0.00014350600000057057,0.0004500299999996571,0.015563926000002226,2048,524288,2560,1090691072,9916928
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,0.00020354899999830423,0.0029580720000019767,0.00048205399999901033,0.009819608000000812,0.013463283000000104,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,5.183800000096994e-05,0.003876146000003189,0.000318333000002724,0.014613027999999417,0.0188593450000063,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,3.1422999999364265e-05,0.002075223999998599,0.0002408769999995286,0.01401218599999865,0.01635970999999614,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,3.10219999981598e-05,0.005355231000002902,0.0002653949999995575,0.004956638999999541,0.01060828700000016,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,3.052199999942218e-05,0.0021854049999987524,0.0003293410000004826,0.006780478000003143,0.0093257460000018,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,2.972200000073144e-05,0.002059312000000091,0.00023186999999680324,0.015593346999999369,0.017914250999996995,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,2.9820999998264597e-05,0.00506171600000016,0.00024488000000033594,0.007774707000002934,0.013111124000001695,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,2.8720999999620744e-05,0.0035707219999991935,0.00024628099999901565,0.0063481609999982425,0.010193884999996072,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,2.8620999998452135e-05,0.004395727000002125,0.0007995869999994909,0.006336951999998064,0.011560886999998132,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,2.8421000003220342e-05,0.0029967999999982453,0.0003593639999976972,0.007586670000002016,0.010971255000001179,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,4.6635000000350146e-05,0.004203585999999149,0.0011213229999995633,0.004675132000002691,0.010046676000001753,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,3.8528000001036844e-05,0.0021481770000022493,0.00030272200000069915,0.016781720000000888,0.019271147000004873,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,3.3424999998032945e-05,0.005960775999998447,0.000812497000001855,0.0072351120000000435,0.014041809999998378,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,2.962099999948009e-05,0.0033563639999982797,0.0002880119999986164,0.0033736759999989374,0.007047672999995314,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,9.496999999925038e-05,0.004777908000001219,0.0008911539999978402,0.005749020999999743,0.011513052999998052,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d256,3.442599999914364e-05,0.002709788999997187,0.00024648099999780015,0.012757064999998846,0.015747760999992977,1024,30720,3192,1090953216,8722432
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,0.00020354899999830423,0.002638436999998106,0.0009278809999990756,0.00991237699999914,0.013682243999994625,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,5.183800000096994e-05,0.006527791999999977,0.000252185000000793,0.004088600999999414,0.010920416000001154,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,3.1422999999364265e-05,0.002312098000000873,0.0005301899999992088,0.006361970000000383,0.009235680999999829,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,3.10219999981598e-05,0.00478891600000253,0.000253185999998351,0.004023753999998547,0.009096877999997588,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,3.052199999942218e-05,0.001956836000001516,0.0002774040000019795,0.0057893500000005815,0.0080541120000035,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,2.972200000073144e-05,0.001185670999998223,0.0004548339999992379,0.004745283000001876,0.006415510000000069,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,2.9820999998264597e-05,0.0038955590000000484,0.00038458199999880094,0.0033938920000018413,0.007703853999998955,2048,61440,6264,1090953216,8852480
level3-1-native-envelope-dev-v1,U1,u1_f3_m10,MAP,map_d512,2.8720999999620744e-05,0.0019196100000016258,0.0004878579999996191,0.004485894000001878,0.006922083000002743,2048,61440,6264,1090953216,8852480
